Department,Metric,Subdivision,Date of business,UTC datetime,Stream,Value
FOH,Sales,Forecast,01/07/2024,01/07/2024 00:00:00,Food,4000.0
FOH,Sales,Forecast,01/07/2024,01/07/2024 00:00:00,Beverage,1800.0
FOH,Sales,Actual,01/07/2024,01/07/2024 10:00:00,Beverage,12.2917
FOH,Sales,Actual,01/07/2024,01/07/2024 10:00:00,Food,48.5833
FOH,Sales,Actual,01/07/2024,01/07/2024 11:00:00,Beverage,19.2917
FOH,Sales,Actual,01/07/2024,01/07/2024 11:00:00,Food,31.5833
FOH,Sales,Actual,01/07/2024,01/07/2024 12:00:00,Beverage,104.9167
FOH,Sales,Actual,01/07/2024,01/07/2024 12:00:00,Food,349.625
FOH,Sales,Actual,01/07/2024,01/07/2024 13:00:00,Beverage,211.9167
FOH,Sales,Actual,01/07/2024,01/07/2024 13:00:00,Food,656.4167
FOH,Sales,Actual,01/07/2024,01/07/2024 14:00:00,Beverage,156.3333
FOH,Sales,Actual,01/07/2024,01/07/2024 14:00:00,Food,324.7917
FOH,Sales,Actual,01/07/2024,01/07/2024 15:00:00,Beverage,96.6667
FOH,Sales,Actual,01/07/2024,01/07/2024 15:00:00,Food,129.8333
FOH,Sales,Actual,01/07/2024,01/07/2024 16:00:00,Beverage,126.9583
FOH,Sales,Actual,01/07/2024,01/07/2024 16:00:00,Food,489.0
FOH,Sales,Actual,01/07/2024,01/07/2024 17:00:00,Beverage,133.1667
FOH,Sales,Actual,01/07/2024,01/07/2024 17:00:00,Food,344.2583
FOH,Sales,Actual,01/07/2024,01/07/2024 18:00:00,Beverage,203.375
FOH,Sales,Actual,01/07/2024,01/07/2024 18:00:00,Food,591.75
FOH,Sales,Actual,01/07/2024,01/07/2024 19:00:00,Beverage,366.9583
FOH,Sales,Actual,01/07/2024,01/07/2024 19:00:00,Food,803.2917
FOH,Sales,Actual,01/07/2024,01/07/2024 20:00:00,Beverage,146.6667
FOH,Sales,Actual,01/07/2024,01/07/2024 20:00:00,Food,339.875
FOH,Sales,Actual,01/07/2024,01/07/2024 21:00:00,Beverage,34.0417
FOH,Sales,Actual,01/07/2024,01/07/2024 21:00:00,Food,36.0
FOH,Sales,Forecast,02/07/2024,02/07/2024 00:00:00,Food,5000.0
FOH,Sales,Forecast,02/07/2024,02/07/2024 00:00:00,Beverage,1800.0
