Department,Metric,Subdivision,Date of business,UTC datetime,Stream,Value
FOH,Sales,Forecast,19/02/2024,19/02/2024 00:00:00,Food,3300.0
FOH,Sales,Forecast,19/02/2024,19/02/2024 00:00:00,Beverage,1400.0
FOH,Sales,Actual,19/02/2024,19/02/2024 10:00:00,Beverage,17.75
FOH,Sales,Actual,19/02/2024,19/02/2024 10:00:00,Food,4.125
FOH,Sales,Actual,19/02/2024,19/02/2024 11:00:00,Beverage,43.5417
FOH,Sales,Actual,19/02/2024,19/02/2024 11:00:00,Food,64.7917
FOH,Sales,Actual,19/02/2024,19/02/2024 12:00:00,Beverage,154.4167
FOH,Sales,Actual,19/02/2024,19/02/2024 12:00:00,Food,408.2917
FOH,Sales,Actual,19/02/2024,19/02/2024 13:00:00,Beverage,122.375
FOH,Sales,Actual,19/02/2024,19/02/2024 13:00:00,Food,409.0417
FOH,Sales,Actual,19/02/2024,19/02/2024 14:00:00,Beverage,90.4583
FOH,Sales,Actual,19/02/2024,19/02/2024 14:00:00,Food,243.25
FOH,Sales,Actual,19/02/2024,19/02/2024 15:00:00,Beverage,82.5833
FOH,Sales,Actual,19/02/2024,19/02/2024 15:00:00,Food,208.2917
FOH,Sales,Actual,19/02/2024,19/02/2024 16:00:00,Beverage,47.4167
FOH,Sales,Actual,19/02/2024,19/02/2024 16:00:00,Food,179.25
FOH,Sales,Actual,19/02/2024,19/02/2024 17:00:00,Beverage,131.375
FOH,Sales,Actual,19/02/2024,19/02/2024 17:00:00,Food,567.35
FOH,Sales,Actual,19/02/2024,19/02/2024 18:00:00,Beverage,174.875
FOH,Sales,Actual,19/02/2024,19/02/2024 18:00:00,Food,336.0
FOH,Sales,Actual,19/02/2024,19/02/2024 19:00:00,Beverage,223.375
FOH,Sales,Actual,19/02/2024,19/02/2024 19:00:00,Food,594.9583
FOH,Sales,Actual,19/02/2024,19/02/2024 20:00:00,Beverage,69.875
FOH,Sales,Actual,19/02/2024,19/02/2024 20:00:00,Food,163.025
FOH,Sales,Actual,19/02/2024,19/02/2024 21:00:00,Beverage,8.125
FOH,Sales,Actual,19/02/2024,19/02/2024 21:00:00,Food,9.9167
FOH,Sales,Forecast,20/02/2024,20/02/2024 00:00:00,Food,3300.0
FOH,Sales,Forecast,20/02/2024,20/02/2024 00:00:00,Beverage,1400.0
FOH,Sales,Actual,20/02/2024,20/02/2024 10:00:00,Beverage,6.0833
FOH,Sales,Actual,20/02/2024,20/02/2024 10:00:00,Food,15.75
FOH,Sales,Actual,20/02/2024,20/02/2024 11:00:00,Beverage,14.0
FOH,Sales,Actual,20/02/2024,20/02/2024 11:00:00,Food,32.875
FOH,Sales,Actual,20/02/2024,20/02/2024 12:00:00,Beverage,91.5417
FOH,Sales,Actual,20/02/2024,20/02/2024 12:00:00,Food,353.7417
FOH,Sales,Actual,20/02/2024,20/02/2024 13:00:00,Beverage,86.4583
FOH,Sales,Actual,20/02/2024,20/02/2024 13:00:00,Food,262.6667
FOH,Sales,Actual,20/02/2024,20/02/2024 14:00:00,Beverage,54.2083
FOH,Sales,Actual,20/02/2024,20/02/2024 14:00:00,Food,166.375
FOH,Sales,Actual,20/02/2024,20/02/2024 15:00:00,Beverage,63.8333
FOH,Sales,Actual,20/02/2024,20/02/2024 15:00:00,Food,136.2917
FOH,Sales,Actual,20/02/2024,20/02/2024 16:00:00,Beverage,63.1167
FOH,Sales,Actual,20/02/2024,20/02/2024 16:00:00,Food,99.5
FOH,Sales,Actual,20/02/2024,20/02/2024 17:00:00,Beverage,133.7917
FOH,Sales,Actual,20/02/2024,20/02/2024 17:00:00,Food,579.5833
FOH,Sales,Actual,20/02/2024,20/02/2024 18:00:00,Beverage,317.5
FOH,Sales,Actual,20/02/2024,20/02/2024 18:00:00,Food,733.0
FOH,Sales,Actual,20/02/2024,20/02/2024 19:00:00,Beverage,334.0417
FOH,Sales,Actual,20/02/2024,20/02/2024 19:00:00,Food,854.75
FOH,Sales,Actual,20/02/2024,20/02/2024 20:00:00,Beverage,185.625
FOH,Sales,Actual,20/02/2024,20/02/2024 20:00:00,Food,566.4583
FOH,Sales,Actual,20/02/2024,20/02/2024 21:00:00,Beverage,74.75
FOH,Sales,Actual,20/02/2024,20/02/2024 21:00:00,Food,144.0
FOH,Sales,Actual,20/02/2024,20/02/2024 22:00:00,Beverage,0.0
FOH,Sales,Actual,20/02/2024,20/02/2024 22:00:00,Food,0.0
FOH,Sales,Forecast,21/02/2024,21/02/2024 00:00:00,Food,3500.0
FOH,Sales,Forecast,21/02/2024,21/02/2024 00:00:00,Beverage,1500.0
FOH,Sales,Actual,21/02/2024,21/02/2024 11:00:00,Beverage,6.5833
FOH,Sales,Actual,21/02/2024,21/02/2024 11:00:00,Food,31.4583
FOH,Sales,Actual,21/02/2024,21/02/2024 12:00:00,Beverage,75.125
FOH,Sales,Actual,21/02/2024,21/02/2024 12:00:00,Food,241.9583
FOH,Sales,Actual,21/02/2024,21/02/2024 13:00:00,Beverage,185.25
FOH,Sales,Actual,21/02/2024,21/02/2024 13:00:00,Food,479.2917
FOH,Sales,Actual,21/02/2024,21/02/2024 14:00:00,Beverage,82.3333
FOH,Sales,Actual,21/02/2024,21/02/2024 14:00:00,Food,165.4167
FOH,Sales,Actual,21/02/2024,21/02/2024 15:00:00,Beverage,58.7917
FOH,Sales,Actual,21/02/2024,21/02/2024 15:00:00,Food,141.875
FOH,Sales,Actual,21/02/2024,21/02/2024 16:00:00,Beverage,53.125
FOH,Sales,Actual,21/02/2024,21/02/2024 16:00:00,Food,220.3667
FOH,Sales,Actual,21/02/2024,21/02/2024 17:00:00,Beverage,189.7917
FOH,Sales,Actual,21/02/2024,21/02/2024 17:00:00,Food,535.125
FOH,Sales,Actual,21/02/2024,21/02/2024 18:00:00,Beverage,194.75
FOH,Sales,Actual,21/02/2024,21/02/2024 18:00:00,Food,830.7917
FOH,Sales,Actual,21/02/2024,21/02/2024 19:00:00,Beverage,281.4167
FOH,Sales,Actual,21/02/2024,21/02/2024 19:00:00,Food,644.5417
FOH,Sales,Actual,21/02/2024,21/02/2024 20:00:00,Beverage,164.4583
FOH,Sales,Actual,21/02/2024,21/02/2024 20:00:00,Food,281.2917
FOH,Sales,Actual,21/02/2024,21/02/2024 21:00:00,Beverage,83.5417
FOH,Sales,Actual,21/02/2024,21/02/2024 21:00:00,Food,149.3333
FOH,Sales,Actual,21/02/2024,21/02/2024 22:00:00,Beverage,12.4167
FOH,Sales,Actual,21/02/2024,21/02/2024 22:00:00,Food,0.0
FOH,Sales,Forecast,22/02/2024,22/02/2024 00:00:00,Food,4000.0
FOH,Sales,Forecast,22/02/2024,22/02/2024 00:00:00,Beverage,1600.0
FOH,Sales,Actual,22/02/2024,22/02/2024 11:00:00,Beverage,18.2917
FOH,Sales,Actual,22/02/2024,22/02/2024 11:00:00,Food,85.1667
FOH,Sales,Actual,22/02/2024,22/02/2024 12:00:00,Beverage,181.3333
FOH,Sales,Actual,22/02/2024,22/02/2024 12:00:00,Food,594.9583
FOH,Sales,Actual,22/02/2024,22/02/2024 13:00:00,Beverage,353.9167
FOH,Sales,Actual,22/02/2024,22/02/2024 13:00:00,Food,762.5833
FOH,Sales,Actual,22/02/2024,22/02/2024 14:00:00,Beverage,268.6667
FOH,Sales,Actual,22/02/2024,22/02/2024 14:00:00,Food,336.2083
FOH,Sales,Actual,22/02/2024,22/02/2024 15:00:00,Beverage,66.5417
FOH,Sales,Actual,22/02/2024,22/02/2024 15:00:00,Food,146.4167
FOH,Sales,Actual,22/02/2024,22/02/2024 16:00:00,Beverage,108.9167
FOH,Sales,Actual,22/02/2024,22/02/2024 16:00:00,Food,236.2083
FOH,Sales,Actual,22/02/2024,22/02/2024 17:00:00,Beverage,328.375
FOH,Sales,Actual,22/02/2024,22/02/2024 17:00:00,Food,862.9167
FOH,Sales,Actual,22/02/2024,22/02/2024 18:00:00,Beverage,233.0417
FOH,Sales,Actual,22/02/2024,22/02/2024 18:00:00,Food,585.5
FOH,Sales,Actual,22/02/2024,22/02/2024 19:00:00,Beverage,378.2417
FOH,Sales,Actual,22/02/2024,22/02/2024 19:00:00,Food,880.6667
FOH,Sales,Actual,22/02/2024,22/02/2024 20:00:00,Beverage,200.4167
FOH,Sales,Actual,22/02/2024,22/02/2024 20:00:00,Food,520.6667
