Department,Metric,Subdivision,Date of business,UTC datetime,Stream,Value
FOH,Sales,Forecast,05/02/2024,05/02/2024 00:00:00,Beverage,850.0
FOH,Sales,Forecast,05/02/2024,05/02/2024 00:00:00,Food,2600.0
FOH,Sales,Actual,05/02/2024,05/02/2024 10:00:00,Beverage,0.0
FOH,Sales,Actual,05/02/2024,05/02/2024 11:00:00,Beverage,10.75
FOH,Sales,Actual,05/02/2024,05/02/2024 11:00:00,Food,39.9167
FOH,Sales,Actual,05/02/2024,05/02/2024 12:00:00,Beverage,98.75
FOH,Sales,Actual,05/02/2024,05/02/2024 12:00:00,Food,283.7917
FOH,Sales,Actual,05/02/2024,05/02/2024 13:00:00,Beverage,118.9167
FOH,Sales,Actual,05/02/2024,05/02/2024 13:00:00,Food,370.9833
FOH,Sales,Actual,05/02/2024,05/02/2024 14:00:00,Beverage,109.4583
FOH,Sales,Actual,05/02/2024,05/02/2024 14:00:00,Food,266.875
FOH,Sales,Actual,05/02/2024,05/02/2024 15:00:00,Beverage,13.4167
FOH,Sales,Actual,05/02/2024,05/02/2024 15:00:00,Food,67.0
FOH,Sales,Actual,05/02/2024,05/02/2024 16:00:00,Beverage,69.8333
FOH,Sales,Actual,05/02/2024,05/02/2024 16:00:00,Food,106.2083
FOH,Sales,Actual,05/02/2024,05/02/2024 17:00:00,Beverage,119.7083
FOH,Sales,Actual,05/02/2024,05/02/2024 17:00:00,Food,259.8917
FOH,Sales,Actual,05/02/2024,05/02/2024 18:00:00,Beverage,220.1667
FOH,Sales,Actual,05/02/2024,05/02/2024 18:00:00,Food,643.2
FOH,Sales,Actual,05/02/2024,05/02/2024 19:00:00,Beverage,120.7083
FOH,Sales,Actual,05/02/2024,05/02/2024 19:00:00,Food,317.8417
FOH,Sales,Actual,05/02/2024,05/02/2024 20:00:00,Beverage,56.0
FOH,Sales,Actual,05/02/2024,05/02/2024 20:00:00,Food,142.05
FOH,Sales,Actual,05/02/2024,05/02/2024 21:00:00,Beverage,7.1667
FOH,Sales,Actual,05/02/2024,05/02/2024 21:00:00,Food,0.0
FOH,Sales,Forecast,06/02/2024,06/02/2024 00:00:00,Beverage,1000.0
FOH,Sales,Forecast,06/02/2024,06/02/2024 00:00:00,Food,2900.0
FOH,Sales,Actual,06/02/2024,06/02/2024 10:00:00,Beverage,5.375
FOH,Sales,Actual,06/02/2024,06/02/2024 10:00:00,Food,19.9167
FOH,Sales,Actual,06/02/2024,06/02/2024 11:00:00,Beverage,2.5
FOH,Sales,Actual,06/02/2024,06/02/2024 12:00:00,Beverage,50.875
FOH,Sales,Actual,06/02/2024,06/02/2024 12:00:00,Food,187.0417
FOH,Sales,Actual,06/02/2024,06/02/2024 13:00:00,Beverage,113.1667
FOH,Sales,Actual,06/02/2024,06/02/2024 13:00:00,Food,298.2917
FOH,Sales,Actual,06/02/2024,06/02/2024 14:00:00,Beverage,90.0
FOH,Sales,Actual,06/02/2024,06/02/2024 14:00:00,Food,269.2667
FOH,Sales,Actual,06/02/2024,06/02/2024 15:00:00,Beverage,60.4583
FOH,Sales,Actual,06/02/2024,06/02/2024 15:00:00,Food,190.475
FOH,Sales,Actual,06/02/2024,06/02/2024 16:00:00,Beverage,130.2083
FOH,Sales,Actual,06/02/2024,06/02/2024 16:00:00,Food,213.7167
