Department,Metric,Subdivision,Date of business,UTC datetime,Stream,Value
FOH,Sales,Forecast,08/07/2024,08/07/2024 00:00:00,Beverage,1400.0
FOH,Sales,Forecast,08/07/2024,08/07/2024 00:00:00,Food,4000.0
FOH,Sales,Actual,08/07/2024,08/07/2024 10:00:00,Beverage,0.0
FOH,Sales,Actual,08/07/2024,08/07/2024 10:00:00,Food,16.6667
FOH,Sales,Actual,08/07/2024,08/07/2024 11:00:00,Beverage,16.6667
FOH,Sales,Actual,08/07/2024,08/07/2024 11:00:00,Food,95.0833
FOH,Sales,Actual,08/07/2024,08/07/2024 12:00:00,Beverage,113.625
FOH,Sales,Actual,08/07/2024,08/07/2024 12:00:00,Food,285.3333
FOH,Sales,Actual,08/07/2024,08/07/2024 13:00:00,Beverage,212.5833
FOH,Sales,Actual,08/07/2024,08/07/2024 13:00:00,Food,532.4167
FOH,Sales,Actual,08/07/2024,08/07/2024 14:00:00,Beverage,114.4167
FOH,Sales,Actual,08/07/2024,08/07/2024 14:00:00,Food,220.625
FOH,Sales,Actual,08/07/2024,08/07/2024 15:00:00,Beverage,131.75
FOH,Sales,Actual,08/07/2024,08/07/2024 15:00:00,Food,337.0083
FOH,Sales,Actual,08/07/2024,08/07/2024 16:00:00,Beverage,35.5
FOH,Sales,Actual,08/07/2024,08/07/2024 16:00:00,Food,156.0667
FOH,Sales,Actual,08/07/2024,08/07/2024 17:00:00,Beverage,57.8333
FOH,Sales,Actual,08/07/2024,08/07/2024 17:00:00,Food,181.625
FOH,Sales,Actual,08/07/2024,08/07/2024 18:00:00,Beverage,243.375
FOH,Sales,Actual,08/07/2024,08/07/2024 18:00:00,Food,480.75
FOH,Sales,Actual,08/07/2024,08/07/2024 19:00:00,Beverage,175.8333
FOH,Sales,Actual,08/07/2024,08/07/2024 19:00:00,Food,481.6667
FOH,Sales,Actual,08/07/2024,08/07/2024 20:00:00,Beverage,186.0
FOH,Sales,Actual,08/07/2024,08/07/2024 20:00:00,Food,343.25
FOH,Sales,Actual,08/07/2024,08/07/2024 21:00:00,Beverage,16.5
FOH,Sales,Actual,08/07/2024,08/07/2024 21:00:00,Food,18.625
FOH,Sales,Forecast,09/07/2024,09/07/2024 00:00:00,Beverage,1800.0
FOH,Sales,Forecast,09/07/2024,09/07/2024 00:00:00,Food,5000.0
FOH,Sales,Actual,09/07/2024,09/07/2024 10:00:00,Beverage,2.7083
FOH,Sales,Actual,09/07/2024,09/07/2024 10:00:00,Food,0.0
FOH,Sales,Actual,09/07/2024,09/07/2024 11:00:00,Beverage,16.75
FOH,Sales,Actual,09/07/2024,09/07/2024 11:00:00,Food,43.7833
FOH,Sales,Actual,09/07/2024,09/07/2024 12:00:00,Beverage,145.9583
FOH,Sales,Actual,09/07/2024,09/07/2024 12:00:00,Food,303.6917
FOH,Sales,Actual,09/07/2024,09/07/2024 13:00:00,Beverage,142.0417
FOH,Sales,Actual,09/07/2024,09/07/2024 13:00:00,Food,440.2083
FOH,Sales,Actual,09/07/2024,09/07/2024 14:00:00,Beverage,111.125
FOH,Sales,Actual,09/07/2024,09/07/2024 14:00:00,Food,258.875
FOH,Sales,Actual,09/07/2024,09/07/2024 15:00:00,Beverage,132.125
FOH,Sales,Actual,09/07/2024,09/07/2024 15:00:00,Food,281.6667
FOH,Sales,Actual,09/07/2024,09/07/2024 16:00:00,Beverage,135.7917
FOH,Sales,Actual,09/07/2024,09/07/2024 16:00:00,Food,251.0417
FOH,Sales,Actual,09/07/2024,09/07/2024 17:00:00,Beverage,176.0
FOH,Sales,Actual,09/07/2024,09/07/2024 17:00:00,Food,327.6667
FOH,Sales,Actual,09/07/2024,09/07/2024 18:00:00,Beverage,190.4167
FOH,Sales,Actual,09/07/2024,09/07/2024 18:00:00,Food,384.8333
FOH,Sales,Actual,09/07/2024,09/07/2024 19:00:00,Beverage,280.25
FOH,Sales,Actual,09/07/2024,09/07/2024 19:00:00,Food,868.1667
FOH,Sales,Actual,09/07/2024,09/07/2024 20:00:00,Beverage,151.2917
FOH,Sales,Actual,09/07/2024,09/07/2024 20:00:00,Food,351.25
FOH,Sales,Actual,09/07/2024,09/07/2024 21:00:00,Beverage,30.875
FOH,Sales,Actual,09/07/2024,09/07/2024 21:00:00,Food,62.625
FOH,Sales,Actual,09/07/2024,09/07/2024 22:00:00,Beverage,0.0
FOH,Sales,Actual,09/07/2024,09/07/2024 22:00:00,Food,0.0
FOH,Sales,Forecast,10/07/2024,10/07/2024 00:00:00,Beverage,1800.0
FOH,Sales,Forecast,10/07/2024,10/07/2024 00:00:00,Food,5000.0
FOH,Sales,Actual,10/07/2024,10/07/2024 10:00:00,Beverage,8.2917
FOH,Sales,Actual,10/07/2024,10/07/2024 10:00:00,Food,19.9167
FOH,Sales,Actual,10/07/2024,10/07/2024 11:00:00,Beverage,45.2917
FOH,Sales,Actual,10/07/2024,10/07/2024 11:00:00,Food,70.875
FOH,Sales,Actual,10/07/2024,10/07/2024 12:00:00,Beverage,149.9167
FOH,Sales,Actual,10/07/2024,10/07/2024 12:00:00,Food,608.6667
FOH,Sales,Actual,10/07/2024,10/07/2024 13:00:00,Beverage,280.75
FOH,Sales,Actual,10/07/2024,10/07/2024 13:00:00,Food,663.1667
FOH,Sales,Actual,10/07/2024,10/07/2024 14:00:00,Beverage,259.4167
FOH,Sales,Actual,10/07/2024,10/07/2024 14:00:00,Food,771.7084
FOH,Sales,Actual,10/07/2024,10/07/2024 15:00:00,Beverage,174.25
FOH,Sales,Actual,10/07/2024,10/07/2024 15:00:00,Food,460.7917
FOH,Sales,Actual,10/07/2024,10/07/2024 16:00:00,Beverage,142.25
FOH,Sales,Actual,10/07/2024,10/07/2024 16:00:00,Food,266.7083
FOH,Sales,Actual,10/07/2024,10/07/2024 17:00:00,Beverage,347.3333
FOH,Sales,Actual,10/07/2024,10/07/2024 17:00:00,Food,624.0983
FOH,Sales,Actual,10/07/2024,10/07/2024 18:00:00,Beverage,409.5417
FOH,Sales,Actual,10/07/2024,10/07/2024 18:00:00,Food,620.3333
FOH,Sales,Actual,10/07/2024,10/07/2024 19:00:00,Beverage,300.3333
FOH,Sales,Actual,10/07/2024,10/07/2024 19:00:00,Food,721.4433
FOH,Sales,Actual,10/07/2024,10/07/2024 20:00:00,Beverage,84.375
FOH,Sales,Actual,10/07/2024,10/07/2024 20:00:00,Food,215.625
FOH,Sales,Actual,10/07/2024,10/07/2024 21:00:00,Beverage,44.1667
FOH,Sales,Actual,10/07/2024,10/07/2024 21:00:00,Food,102.25
FOH,Sales,Actual,10/07/2024,10/07/2024 22:00:00,Beverage,0.0
FOH,Sales,Actual,10/07/2024,10/07/2024 22:00:00,Food,0.0
FOH,Sales,Forecast,11/07/2024,11/07/2024 00:00:00,Beverage,2200.0
FOH,Sales,Forecast,11/07/2024,11/07/2024 00:00:00,Food,5500.0
FOH,Sales,Actual,11/07/2024,11/07/2024 10:00:00,Food,4.125
FOH,Sales,Actual,11/07/2024,11/07/2024 11:00:00,Beverage,22.5
FOH,Sales,Actual,11/07/2024,11/07/2024 11:00:00,Food,38.2083
FOH,Sales,Actual,11/07/2024,11/07/2024 12:00:00,Beverage,166.5833
FOH,Sales,Actual,11/07/2024,11/07/2024 12:00:00,Food,400.4583
FOH,Sales,Actual,11/07/2024,11/07/2024 13:00:00,Beverage,260.3333
FOH,Sales,Actual,11/07/2024,11/07/2024 13:00:00,Food,588.9167
FOH,Sales,Actual,11/07/2024,11/07/2024 14:00:00,Beverage,95.5833
FOH,Sales,Actual,11/07/2024,11/07/2024 14:00:00,Food,289.625
FOH,Sales,Actual,11/07/2024,11/07/2024 15:00:00,Beverage,152.5
FOH,Sales,Actual,11/07/2024,11/07/2024 15:00:00,Food,264.4167
FOH,Sales,Actual,11/07/2024,11/07/2024 16:00:00,Beverage,62.3333
FOH,Sales,Actual,11/07/2024,11/07/2024 16:00:00,Food,198.5417
FOH,Sales,Actual,11/07/2024,11/07/2024 17:00:00,Beverage,241.2083
FOH,Sales,Actual,11/07/2024,11/07/2024 17:00:00,Food,661.125
FOH,Sales,Actual,11/07/2024,11/07/2024 18:00:00,Beverage,265.5833
FOH,Sales,Actual,11/07/2024,11/07/2024 18:00:00,Food,821.2917
FOH,Sales,Actual,11/07/2024,11/07/2024 19:00:00,Beverage,263.5833
FOH,Sales,Actual,11/07/2024,11/07/2024 19:00:00,Food,715.3833
FOH,Sales,Actual,11/07/2024,11/07/2024 20:00:00,Beverage,285.6667
FOH,Sales,Actual,11/07/2024,11/07/2024 20:00:00,Food,624.0833
FOH,Sales,Actual,11/07/2024,11/07/2024 21:00:00,Beverage,136.4583
FOH,Sales,Actual,11/07/2024,11/07/2024 21:00:00,Food,316.3333
FOH,Sales,Actual,11/07/2024,11/07/2024 22:00:00,Beverage,9.8333
FOH,Sales,Actual,11/07/2024,11/07/2024 22:00:00,Food,0.0
FOH,Sales,Forecast,12/07/2024,12/07/2024 00:00:00,Beverage,3500.0
FOH,Sales,Forecast,12/07/2024,12/07/2024 00:00:00,Food,7500.0
FOH,Sales,Actual,12/07/2024,12/07/2024 10:00:00,Beverage,19.875
FOH,Sales,Actual,12/07/2024,12/07/2024 10:00:00,Food,70.3333
FOH,Sales,Actual,12/07/2024,12/07/2024 11:00:00,Beverage,38.4583
FOH,Sales,Actual,12/07/2024,12/07/2024 11:00:00,Food,125.25
FOH,Sales,Actual,12/07/2024,12/07/2024 12:00:00,Beverage,198.3333
FOH,Sales,Actual,12/07/2024,12/07/2024 12:00:00,Food,579.75
FOH,Sales,Actual,12/07/2024,12/07/2024 13:00:00,Beverage,260.75
FOH,Sales,Actual,12/07/2024,12/07/2024 13:00:00,Food,679.4
FOH,Sales,Actual,12/07/2024,12/07/2024 14:00:00,Beverage,246.0833
FOH,Sales,Actual,12/07/2024,12/07/2024 14:00:00,Food,475.8333
FOH,Sales,Actual,12/07/2024,12/07/2024 15:00:00,Beverage,116.1667
FOH,Sales,Actual,12/07/2024,12/07/2024 15:00:00,Food,303.6
FOH,Sales,Actual,12/07/2024,12/07/2024 16:00:00,Beverage,205.4583
FOH,Sales,Actual,12/07/2024,12/07/2024 16:00:00,Food,507.3333
FOH,Sales,Actual,12/07/2024,12/07/2024 17:00:00,Beverage,308.6667
FOH,Sales,Actual,12/07/2024,12/07/2024 17:00:00,Food,576.1667
FOH,Sales,Actual,12/07/2024,12/07/2024 18:00:00,Beverage,424.9167
FOH,Sales,Actual,12/07/2024,12/07/2024 18:00:00,Food,896.8333
FOH,Sales,Actual,12/07/2024,12/07/2024 19:00:00,Beverage,531.9167
FOH,Sales,Actual,12/07/2024,12/07/2024 19:00:00,Food,1299.0416
FOH,Sales,Actual,12/07/2024,12/07/2024 20:00:00,Beverage,374.4583
FOH,Sales,Actual,12/07/2024,12/07/2024 20:00:00,Food,911.25
FOH,Sales,Actual,12/07/2024,12/07/2024 21:00:00,Beverage,144.9167
FOH,Sales,Actual,12/07/2024,12/07/2024 21:00:00,Food,160.8333
FOH,Sales,Actual,12/07/2024,12/07/2024 22:00:00,Beverage,0.0
FOH,Sales,Actual,12/07/2024,12/07/2024 22:00:00,Food,0.0
FOH,Sales,Forecast,13/07/2024,13/07/2024 00:00:00,Beverage,4500.0
FOH,Sales,Forecast,13/07/2024,13/07/2024 00:00:00,Food,9000.0
FOH,Sales,Actual,13/07/2024,13/07/2024 10:00:00,Beverage,2.5
FOH,Sales,Actual,13/07/2024,13/07/2024 10:00:00,Food,37.625
FOH,Sales,Actual,13/07/2024,13/07/2024 11:00:00,Beverage,15.5417
FOH,Sales,Actual,13/07/2024,13/07/2024 11:00:00,Food,269.25
FOH,Sales,Actual,13/07/2024,13/07/2024 12:00:00,Beverage,276.8333
FOH,Sales,Actual,13/07/2024,13/07/2024 12:00:00,Food,859.5417
FOH,Sales,Actual,13/07/2024,13/07/2024 13:00:00,Beverage,431.875
FOH,Sales,Actual,13/07/2024,13/07/2024 13:00:00,Food,966.1666
FOH,Sales,Actual,13/07/2024,13/07/2024 14:00:00,Beverage,615.125
FOH,Sales,Actual,13/07/2024,13/07/2024 14:00:00,Food,904.2083
FOH,Sales,Actual,13/07/2024,13/07/2024 15:00:00,Beverage,499.8333
FOH,Sales,Actual,13/07/2024,13/07/2024 15:00:00,Food,750.1667
FOH,Sales,Actual,13/07/2024,13/07/2024 16:00:00,Beverage,519.625
FOH,Sales,Actual,13/07/2024,13/07/2024 16:00:00,Food,1081.0833
FOH,Sales,Actual,13/07/2024,13/07/2024 17:00:00,Beverage,461.7083
FOH,Sales,Actual,13/07/2024,13/07/2024 17:00:00,Food,1168.875
FOH,Sales,Actual,13/07/2024,13/07/2024 18:00:00,Beverage,305.2917
FOH,Sales,Actual,13/07/2024,13/07/2024 18:00:00,Food,603.2083
FOH,Sales,Actual,13/07/2024,13/07/2024 19:00:00,Beverage,489.4583
FOH,Sales,Actual,13/07/2024,13/07/2024 19:00:00,Food,1160.9666
FOH,Sales,Actual,13/07/2024,13/07/2024 20:00:00,Beverage,416.6667
FOH,Sales,Actual,13/07/2024,13/07/2024 20:00:00,Food,776.0
FOH,Sales,Actual,13/07/2024,13/07/2024 21:00:00,Beverage,70.7917
FOH,Sales,Actual,13/07/2024,13/07/2024 21:00:00,Food,72.7917
