Department,Metric,Subdivision,Date of business,UTC datetime,Stream,Value
FOH,Sales,Forecast,13/01/2025,13/01/2025 00:00:00,Beverage,900.0
FOH,Sales,Forecast,13/01/2025,13/01/2025 00:00:00,Food,2500.0
FOH,Sales,Prediction,13/01/2025,13/01/2025 00:00:00,Food,2707.0
FOH,Sales,Prediction,13/01/2025,13/01/2025 00:00:00,Beverage,1071.0
FOH,Sales,Actual,13/01/2025,13/01/2025 10:00:00,Beverage,6.0833
FOH,Sales,Actual,13/01/2025,13/01/2025 10:00:00,Food,40.7083
FOH,Sales,Actual,13/01/2025,13/01/2025 11:00:00,Beverage,11.5833
FOH,Sales,Actual,13/01/2025,13/01/2025 11:00:00,Food,16.6667
FOH,Sales,Actual,13/01/2025,13/01/2025 12:00:00,Beverage,97.2083
FOH,Sales,Actual,13/01/2025,13/01/2025 12:00:00,Food,310.875
FOH,Sales,Actual,13/01/2025,13/01/2025 13:00:00,Beverage,56.875
FOH,Sales,Actual,13/01/2025,13/01/2025 13:00:00,Food,254.025
FOH,Sales,Actual,13/01/2025,13/01/2025 14:00:00,Beverage,117.3333
FOH,Sales,Actual,13/01/2025,13/01/2025 14:00:00,Food,135.6333
FOH,Sales,Actual,13/01/2025,13/01/2025 15:00:00,Beverage,48.5833
FOH,Sales,Actual,13/01/2025,13/01/2025 15:00:00,Food,83.3333
FOH,Sales,Actual,13/01/2025,13/01/2025 16:00:00,Beverage,4.1667
FOH,Sales,Actual,13/01/2025,13/01/2025 16:00:00,Food,19.3333
FOH,Sales,Actual,13/01/2025,13/01/2025 17:00:00,Beverage,98.5417
FOH,Sales,Actual,13/01/2025,13/01/2025 17:00:00,Food,150.6667
FOH,Sales,Actual,13/01/2025,13/01/2025 18:00:00,Beverage,143.9167
FOH,Sales,Actual,13/01/2025,13/01/2025 18:00:00,Food,688.05
FOH,Sales,Actual,13/01/2025,13/01/2025 19:00:00,Beverage,37.4167
FOH,Sales,Actual,13/01/2025,13/01/2025 19:00:00,Food,8.4833
FOH,Sales,Forecast,14/01/2025,14/01/2025 00:00:00,Beverage,900.0
FOH,Sales,Forecast,14/01/2025,14/01/2025 00:00:00,Food,2500.0
FOH,Sales,Prediction,14/01/2025,14/01/2025 00:00:00,Food,3050.0
FOH,Sales,Prediction,14/01/2025,14/01/2025 00:00:00,Beverage,1336.0
FOH,Sales,Actual,14/01/2025,14/01/2025 10:00:00,Beverage,12.0
FOH,Sales,Actual,14/01/2025,14/01/2025 10:00:00,Food,6.855
FOH,Sales,Actual,14/01/2025,14/01/2025 11:00:00,Beverage,0.0
FOH,Sales,Actual,14/01/2025,14/01/2025 11:00:00,Food,14.52
FOH,Sales,Actual,14/01/2025,14/01/2025 12:00:00,Beverage,50.0
FOH,Sales,Actual,14/01/2025,14/01/2025 12:00:00,Food,225.1333
FOH,Sales,Actual,14/01/2025,14/01/2025 13:00:00,Beverage,148.5417
FOH,Sales,Actual,14/01/2025,14/01/2025 13:00:00,Food,296.7333
FOH,Sales,Actual,14/01/2025,14/01/2025 14:00:00,Beverage,216.4167
FOH,Sales,Actual,14/01/2025,14/01/2025 14:00:00,Food,276.375
FOH,Sales,Actual,14/01/2025,14/01/2025 15:00:00,Beverage,33.5833
