Department,Metric,Subdivision,Date of business,UTC datetime,Stream,Value
FOH,Sales,Prediction,12/01/2026,12/01/2026 00:00:00,Food,1771.0
FOH,Sales,Prediction,12/01/2026,12/01/2026 00:00:00,Beverage,197.0
FOH,Sales,Forecast,12/01/2026,12/01/2026 00:00:00,Food,3100.0
FOH,Sales,Forecast,12/01/2026,12/01/2026 00:00:00,Beverage,1300.0
FOH,Sales,Actual,12/01/2026,12/01/2026 09:00:00,Beverage,0.0
FOH,Sales,Actual,12/01/2026,12/01/2026 10:00:00,Beverage,0.0
FOH,Sales,Actual,12/01/2026,12/01/2026 10:00:00,Food,18.3333
FOH,Sales,Actual,12/01/2026,12/01/2026 11:00:00,Beverage,29.7917
FOH,Sales,Actual,12/01/2026,12/01/2026 11:00:00,Food,128.6917
FOH,Sales,Actual,12/01/2026,12/01/2026 12:00:00,Beverage,105.1667
FOH,Sales,Actual,12/01/2026,12/01/2026 12:00:00,Food,141.4
FOH,Sales,Actual,12/01/2026,12/01/2026 13:00:00,Beverage,183.2083
FOH,Sales,Actual,12/01/2026,12/01/2026 13:00:00,Food,597.1083
FOH,Sales,Actual,12/01/2026,12/01/2026 14:00:00,Beverage,134.6667
FOH,Sales,Actual,12/01/2026,12/01/2026 14:00:00,Food,239.0083
FOH,Sales,Actual,12/01/2026,12/01/2026 15:00:00,Beverage,96.4583
FOH,Sales,Actual,12/01/2026,12/01/2026 15:00:00,Food,95.5583
FOH,Sales,Actual,12/01/2026,12/01/2026 16:00:00,Beverage,75.7083
FOH,Sales,Actual,12/01/2026,12/01/2026 16:00:00,Food,153.3667
FOH,Sales,Actual,12/01/2026,12/01/2026 17:00:00,Beverage,79.25
FOH,Sales,Actual,12/01/2026,12/01/2026 17:00:00,Food,122.9667
FOH,Sales,Actual,12/01/2026,12/01/2026 18:00:00,Beverage,146.875
FOH,Sales,Actual,12/01/2026,12/01/2026 18:00:00,Food,318.1583
FOH,Sales,Actual,12/01/2026,12/01/2026 19:00:00,Beverage,164.0833
FOH,Sales,Actual,12/01/2026,12/01/2026 19:00:00,Food,466.2167
