Department,Metric,Subdivision,Date of business,UTC datetime,Stream,Value
FOH,Sales,Prediction,26/01/2026,26/01/2026 00:00:00,Food,3084.0
FOH,Sales,Prediction,26/01/2026,26/01/2026 00:00:00,Beverage,1360.0
FOH,Sales,Forecast,26/01/2026,26/01/2026 00:00:00,Beverage,1400.0
FOH,Sales,Forecast,26/01/2026,26/01/2026 00:00:00,Food,2700.0
FOH,Sales,Actual,26/01/2026,26/01/2026 10:00:00,Beverage,18.75
FOH,Sales,Actual,26/01/2026,26/01/2026 10:00:00,Food,67.75
FOH,Sales,Actual,26/01/2026,26/01/2026 11:00:00,Beverage,34.9583
FOH,Sales,Actual,26/01/2026,26/01/2026 11:00:00,Food,127.25
FOH,Sales,Actual,26/01/2026,26/01/2026 12:00:00,Beverage,147.6667
FOH,Sales,Actual,26/01/2026,26/01/2026 12:00:00,Food,144.2083
FOH,Sales,Actual,26/01/2026,26/01/2026 13:00:00,Beverage,124.8333
FOH,Sales,Actual,26/01/2026,26/01/2026 13:00:00,Food,527.675
FOH,Sales,Actual,26/01/2026,26/01/2026 14:00:00,Beverage,90.0833
FOH,Sales,Actual,26/01/2026,26/01/2026 14:00:00,Food,75.9333
FOH,Sales,Actual,26/01/2026,26/01/2026 15:00:00,Beverage,10.0417
FOH,Sales,Actual,26/01/2026,26/01/2026 15:00:00,Food,52.75
FOH,Sales,Actual,26/01/2026,26/01/2026 16:00:00,Beverage,48.2083
FOH,Sales,Actual,26/01/2026,26/01/2026 16:00:00,Food,96.9167
FOH,Sales,Actual,26/01/2026,26/01/2026 17:00:00,Beverage,152.25
FOH,Sales,Actual,26/01/2026,26/01/2026 17:00:00,Food,389.875
FOH,Sales,Actual,26/01/2026,26/01/2026 18:00:00,Beverage,180.9583
FOH,Sales,Actual,26/01/2026,26/01/2026 18:00:00,Food,340.1417
FOH,Sales,Actual,26/01/2026,26/01/2026 19:00:00,Beverage,237.5833
FOH,Sales,Actual,26/01/2026,26/01/2026 19:00:00,Food,612.1333
FOH,Sales,Actual,26/01/2026,26/01/2026 20:00:00,Beverage,31.9167
FOH,Sales,Actual,26/01/2026,26/01/2026 20:00:00,Food,88.075
FOH,Sales,Actual,26/01/2026,26/01/2026 21:00:00,Beverage,55.2917
FOH,Sales,Actual,26/01/2026,26/01/2026 21:00:00,Food,59.0417
FOH,Sales,Prediction,27/01/2026,27/01/2026 00:00:00,Food,3494.77
FOH,Sales,Prediction,27/01/2026,27/01/2026 00:00:00,Beverage,1601.94
FOH,Sales,Forecast,27/01/2026,27/01/2026 00:00:00,Beverage,1400.0
FOH,Sales,Forecast,27/01/2026,27/01/2026 00:00:00,Food,3500.0
FOH,Sales,Actual,27/01/2026,27/01/2026 10:00:00,Beverage,0.0
FOH,Sales,Actual,27/01/2026,27/01/2026 10:00:00,Food,7.45
FOH,Sales,Actual,27/01/2026,27/01/2026 11:00:00,Beverage,5.2083
FOH,Sales,Actual,27/01/2026,27/01/2026 11:00:00,Food,23.2083
FOH,Sales,Actual,27/01/2026,27/01/2026 12:00:00,Beverage,77.9583
FOH,Sales,Actual,27/01/2026,27/01/2026 12:00:00,Food,138.0
FOH,Sales,Actual,27/01/2026,27/01/2026 13:00:00,Beverage,142.375
FOH,Sales,Actual,27/01/2026,27/01/2026 13:00:00,Food,520.2917
FOH,Sales,Actual,27/01/2026,27/01/2026 14:00:00,Beverage,106.5
FOH,Sales,Actual,27/01/2026,27/01/2026 14:00:00,Food,148.1667
FOH,Sales,Actual,27/01/2026,27/01/2026 15:00:00,Beverage,84.5417
FOH,Sales,Actual,27/01/2026,27/01/2026 15:00:00,Food,159.2083
FOH,Sales,Actual,27/01/2026,27/01/2026 16:00:00,Beverage,115.9167
FOH,Sales,Actual,27/01/2026,27/01/2026 16:00:00,Food,271.6083
FOH,Sales,Actual,27/01/2026,27/01/2026 17:00:00,Beverage,229.3333
FOH,Sales,Actual,27/01/2026,27/01/2026 17:00:00,Food,391.6583
FOH,Sales,Actual,27/01/2026,27/01/2026 18:00:00,Beverage,227.7083
FOH,Sales,Actual,27/01/2026,27/01/2026 18:00:00,Food,545.7583
FOH,Sales,Actual,27/01/2026,27/01/2026 19:00:00,Beverage,172.2917
FOH,Sales,Actual,27/01/2026,27/01/2026 19:00:00,Food,407.7417
FOH,Sales,Actual,27/01/2026,27/01/2026 20:00:00,Beverage,30.6667
FOH,Sales,Actual,27/01/2026,27/01/2026 20:00:00,Food,204.525
FOH,Sales,Actual,27/01/2026,27/01/2026 21:00:00,Beverage,0.0
FOH,Sales,Actual,27/01/2026,27/01/2026 21:00:00,Food,6.625
FOH,Sales,Prediction,28/01/2026,28/01/2026 00:00:00,Food,4029.27
FOH,Sales,Prediction,28/01/2026,28/01/2026 00:00:00,Beverage,1712.78
FOH,Sales,Forecast,28/01/2026,28/01/2026 00:00:00,Beverage,1600.0
FOH,Sales,Forecast,28/01/2026,28/01/2026 00:00:00,Food,3800.0
FOH,Sales,Actual,28/01/2026,28/01/2026 10:00:00,Beverage,0.0
FOH,Sales,Actual,28/01/2026,28/01/2026 10:00:00,Food,16.6667
FOH,Sales,Actual,28/01/2026,28/01/2026 11:00:00,Beverage,38.5417
FOH,Sales,Actual,28/01/2026,28/01/2026 11:00:00,Food,134.2833
FOH,Sales,Actual,28/01/2026,28/01/2026 12:00:00,Beverage,251.625
FOH,Sales,Actual,28/01/2026,28/01/2026 12:00:00,Food,421.75
FOH,Sales,Actual,28/01/2026,28/01/2026 13:00:00,Beverage,166.2083
FOH,Sales,Actual,28/01/2026,28/01/2026 13:00:00,Food,420.2333
FOH,Sales,Actual,28/01/2026,28/01/2026 14:00:00,Beverage,148.6667
FOH,Sales,Actual,28/01/2026,28/01/2026 14:00:00,Food,281.4667
FOH,Sales,Actual,28/01/2026,28/01/2026 15:00:00,Beverage,24.5417
FOH,Sales,Actual,28/01/2026,28/01/2026 15:00:00,Food,149.7083
FOH,Sales,Actual,28/01/2026,28/01/2026 16:00:00,Beverage,51.25
FOH,Sales,Actual,28/01/2026,28/01/2026 16:00:00,Food,85.8333
FOH,Sales,Actual,28/01/2026,28/01/2026 17:00:00,Beverage,296.625
FOH,Sales,Actual,28/01/2026,28/01/2026 17:00:00,Food,675.9833
FOH,Sales,Actual,28/01/2026,28/01/2026 18:00:00,Beverage,234.2917
FOH,Sales,Actual,28/01/2026,28/01/2026 18:00:00,Food,856.3083
FOH,Sales,Actual,28/01/2026,28/01/2026 19:00:00,Beverage,435.1667
FOH,Sales,Actual,28/01/2026,28/01/2026 19:00:00,Food,844.875
FOH,Sales,Actual,28/01/2026,28/01/2026 20:00:00,Beverage,197.9583
FOH,Sales,Actual,28/01/2026,28/01/2026 20:00:00,Food,723.875
FOH,Sales,Actual,28/01/2026,28/01/2026 21:00:00,Beverage,53.2083
FOH,Sales,Actual,28/01/2026,28/01/2026 21:00:00,Food,45.05
FOH,Sales,Actual,28/01/2026,28/01/2026 22:00:00,Beverage,0.0
FOH,Sales,Actual,28/01/2026,28/01/2026 22:00:00,Food,0.0
FOH,Sales,Prediction,29/01/2026,29/01/2026 00:00:00,Food,4494.29
FOH,Sales,Prediction,29/01/2026,29/01/2026 00:00:00,Beverage,1873.89
FOH,Sales,Forecast,29/01/2026,29/01/2026 00:00:00,Beverage,2300.0
FOH,Sales,Forecast,29/01/2026,29/01/2026 00:00:00,Food,6000.0
FOH,Sales,Actual,29/01/2026,29/01/2026 09:00:00,Food,0.0
FOH,Sales,Actual,29/01/2026,29/01/2026 11:00:00,Beverage,28.6667
FOH,Sales,Actual,29/01/2026,29/01/2026 11:00:00,Food,35.75
FOH,Sales,Actual,29/01/2026,29/01/2026 12:00:00,Beverage,176.5
FOH,Sales,Actual,29/01/2026,29/01/2026 12:00:00,Food,289.7667
FOH,Sales,Actual,29/01/2026,29/01/2026 13:00:00,Beverage,246.1667
FOH,Sales,Actual,29/01/2026,29/01/2026 13:00:00,Food,648.45
FOH,Sales,Actual,29/01/2026,29/01/2026 14:00:00,Beverage,211.4583
FOH,Sales,Actual,29/01/2026,29/01/2026 14:00:00,Food,399.325
FOH,Sales,Actual,29/01/2026,29/01/2026 15:00:00,Beverage,83.375
FOH,Sales,Actual,29/01/2026,29/01/2026 15:00:00,Food,149.95
FOH,Sales,Actual,29/01/2026,29/01/2026 16:00:00,Beverage,255.0417
FOH,Sales,Actual,29/01/2026,29/01/2026 16:00:00,Food,488.0667
FOH,Sales,Actual,29/01/2026,29/01/2026 17:00:00,Beverage,398.9167
FOH,Sales,Actual,29/01/2026,29/01/2026 17:00:00,Food,687.6417
FOH,Sales,Actual,29/01/2026,29/01/2026 18:00:00,Beverage,338.1667
FOH,Sales,Actual,29/01/2026,29/01/2026 18:00:00,Food,958.3583
FOH,Sales,Actual,29/01/2026,29/01/2026 19:00:00,Beverage,415.875
FOH,Sales,Actual,29/01/2026,29/01/2026 19:00:00,Food,665.7917
FOH,Sales,Actual,29/01/2026,29/01/2026 20:00:00,Beverage,242.0833
FOH,Sales,Actual,29/01/2026,29/01/2026 20:00:00,Food,404.075
FOH,Sales,Actual,29/01/2026,29/01/2026 21:00:00,Beverage,257.375
FOH,Sales,Actual,29/01/2026,29/01/2026 21:00:00,Food,107.0
FOH,Sales,Actual,29/01/2026,29/01/2026 22:00:00,Beverage,5.2083
FOH,Sales,Actual,29/01/2026,29/01/2026 22:00:00,Food,0.0
FOH,Sales,Prediction,30/01/2026,30/01/2026 00:00:00,Food,7138.55
FOH,Sales,Prediction,30/01/2026,30/01/2026 00:00:00,Beverage,3170.91
