Department,Metric,Subdivision,Date of business,UTC datetime,Stream,Value
FOH,Sales,Forecast,12/08/2024,12/08/2024 00:00:00,Food,5500.0
FOH,Sales,Forecast,12/08/2024,12/08/2024 00:00:00,Beverage,2000.0
FOH,Sales,Actual,12/08/2024,12/08/2024 10:00:00,Beverage,8.25
FOH,Sales,Actual,12/08/2024,12/08/2024 10:00:00,Food,17.4167
FOH,Sales,Actual,12/08/2024,12/08/2024 11:00:00,Beverage,0.0
FOH,Sales,Actual,12/08/2024,12/08/2024 12:00:00,Beverage,89.9583
FOH,Sales,Actual,12/08/2024,12/08/2024 12:00:00,Food,470.125
FOH,Sales,Actual,12/08/2024,12/08/2024 13:00:00,Beverage,301.125
FOH,Sales,Actual,12/08/2024,12/08/2024 13:00:00,Food,836.7917
FOH,Sales,Actual,12/08/2024,12/08/2024 14:00:00,Beverage,179.2917
FOH,Sales,Actual,12/08/2024,12/08/2024 14:00:00,Food,340.7917
FOH,Sales,Actual,12/08/2024,12/08/2024 15:00:00,Beverage,192.4167
FOH,Sales,Actual,12/08/2024,12/08/2024 15:00:00,Food,368.4583
FOH,Sales,Actual,12/08/2024,12/08/2024 16:00:00,Beverage,45.7083
FOH,Sales,Actual,12/08/2024,12/08/2024 16:00:00,Food,71.625
FOH,Sales,Actual,12/08/2024,12/08/2024 17:00:00,Beverage,160.25
FOH,Sales,Actual,12/08/2024,12/08/2024 17:00:00,Food,390.3333
FOH,Sales,Actual,12/08/2024,12/08/2024 18:00:00,Beverage,134.5417
FOH,Sales,Actual,12/08/2024,12/08/2024 18:00:00,Food,465.4167
FOH,Sales,Actual,12/08/2024,12/08/2024 19:00:00,Beverage,347.9583
FOH,Sales,Actual,12/08/2024,12/08/2024 19:00:00,Food,542.1667
FOH,Sales,Actual,12/08/2024,12/08/2024 20:00:00,Beverage,162.0833
FOH,Sales,Actual,12/08/2024,12/08/2024 20:00:00,Food,406.625
FOH,Sales,Actual,12/08/2024,12/08/2024 21:00:00,Beverage,52.125
FOH,Sales,Actual,12/08/2024,12/08/2024 21:00:00,Food,111.8333
