Department,Metric,Subdivision,Date of business,UTC datetime,Stream,Value
FOH,Sales,Prediction,16/03/2026,16/03/2026 00:00:00,Food,3304.87
FOH,Sales,Prediction,16/03/2026,16/03/2026 00:00:00,Beverage,1226.58
FOH,Sales,Forecast,16/03/2026,16/03/2026 00:00:00,Food,3300.0
FOH,Sales,Forecast,16/03/2026,16/03/2026 00:00:00,Beverage,1200.0
FOH,Sales,Actual,16/03/2026,16/03/2026 09:00:00,Beverage,0.0
FOH,Sales,Actual,16/03/2026,16/03/2026 09:00:00,Food,16.6667
FOH,Sales,Actual,16/03/2026,16/03/2026 10:00:00,Beverage,11.25
FOH,Sales,Actual,16/03/2026,16/03/2026 10:00:00,Food,36.4167
FOH,Sales,Actual,16/03/2026,16/03/2026 11:00:00,Beverage,2.875
FOH,Sales,Actual,16/03/2026,16/03/2026 11:00:00,Food,33.3333
FOH,Sales,Actual,16/03/2026,16/03/2026 12:00:00,Beverage,99.2083
FOH,Sales,Actual,16/03/2026,16/03/2026 12:00:00,Food,416.3333
FOH,Sales,Actual,16/03/2026,16/03/2026 13:00:00,Beverage,82.9167
FOH,Sales,Actual,16/03/2026,16/03/2026 13:00:00,Food,257.5417
FOH,Sales,Actual,16/03/2026,16/03/2026 14:00:00,Beverage,72.7917
FOH,Sales,Actual,16/03/2026,16/03/2026 14:00:00,Food,183.9167
FOH,Sales,Actual,16/03/2026,16/03/2026 15:00:00,Beverage,128.2917
FOH,Sales,Actual,16/03/2026,16/03/2026 15:00:00,Food,256.375
FOH,Sales,Actual,16/03/2026,16/03/2026 16:00:00,Beverage,105.5833
FOH,Sales,Actual,16/03/2026,16/03/2026 16:00:00,Food,218.9167
FOH,Sales,Actual,16/03/2026,16/03/2026 17:00:00,Beverage,206.875
FOH,Sales,Actual,16/03/2026,16/03/2026 17:00:00,Food,247.1667
FOH,Sales,Actual,16/03/2026,16/03/2026 18:00:00,Beverage,95.9583
FOH,Sales,Actual,16/03/2026,16/03/2026 18:00:00,Food,516.3333
FOH,Sales,Actual,16/03/2026,16/03/2026 19:00:00,Beverage,95.5417
FOH,Sales,Actual,16/03/2026,16/03/2026 19:00:00,Food,316.9583
FOH,Sales,Actual,16/03/2026,16/03/2026 20:00:00,Beverage,141.5833
FOH,Sales,Actual,16/03/2026,16/03/2026 20:00:00,Food,449.7917
FOH,Sales,Actual,16/03/2026,16/03/2026 21:00:00,Beverage,39.6667
FOH,Sales,Actual,16/03/2026,16/03/2026 21:00:00,Food,97.2917
FOH,Sales,Actual,16/03/2026,16/03/2026 22:00:00,Beverage,0.0
FOH,Sales,Actual,16/03/2026,16/03/2026 22:00:00,Food,7.95
FOH,Sales,Prediction,17/03/2026,17/03/2026 00:00:00,Food,4066.8
FOH,Sales,Prediction,17/03/2026,17/03/2026 00:00:00,Beverage,1599.3
FOH,Sales,Forecast,17/03/2026,17/03/2026 00:00:00,Food,4000.0
FOH,Sales,Forecast,17/03/2026,17/03/2026 00:00:00,Beverage,1400.0
FOH,Sales,Actual,17/03/2026,17/03/2026 10:00:00,Food,10.95
FOH,Sales,Actual,17/03/2026,17/03/2026 12:00:00,Beverage,64.0417
FOH,Sales,Actual,17/03/2026,17/03/2026 12:00:00,Food,318.9583
FOH,Sales,Actual,17/03/2026,17/03/2026 13:00:00,Beverage,186.0833
FOH,Sales,Actual,17/03/2026,17/03/2026 13:00:00,Food,485.0417
FOH,Sales,Actual,17/03/2026,17/03/2026 14:00:00,Beverage,130.6667
FOH,Sales,Actual,17/03/2026,17/03/2026 14:00:00,Food,358.75
FOH,Sales,Actual,17/03/2026,17/03/2026 15:00:00,Beverage,57.7917
FOH,Sales,Actual,17/03/2026,17/03/2026 15:00:00,Food,145.6667
FOH,Sales,Actual,17/03/2026,17/03/2026 16:00:00,Beverage,50.3333
