Department,Metric,Subdivision,Date of business,UTC datetime,Stream,Value
FOH,Sales,Forecast,02/01/2024,02/01/2024 00:00:00,Food,6000.0
FOH,Sales,Forecast,02/01/2024,02/01/2024 00:00:00,Beverage,2100.0
FOH,Sales,Actual,02/01/2024,02/01/2024 10:00:00,Beverage,11.8333
FOH,Sales,Actual,02/01/2024,02/01/2024 10:00:00,Food,21.5417
FOH,Sales,Actual,02/01/2024,02/01/2024 11:00:00,Beverage,7.8333
FOH,Sales,Actual,02/01/2024,02/01/2024 11:00:00,Food,61.75
FOH,Sales,Actual,02/01/2024,02/01/2024 12:00:00,Beverage,132.375
FOH,Sales,Actual,02/01/2024,02/01/2024 12:00:00,Food,425.0
FOH,Sales,Actual,02/01/2024,02/01/2024 13:00:00,Beverage,320.625
FOH,Sales,Actual,02/01/2024,02/01/2024 13:00:00,Food,1059.9167
FOH,Sales,Actual,02/01/2024,02/01/2024 14:00:00,Beverage,308.5
FOH,Sales,Actual,02/01/2024,02/01/2024 14:00:00,Food,591.4583
FOH,Sales,Actual,02/01/2024,02/01/2024 15:00:00,Beverage,279.4167
FOH,Sales,Actual,02/01/2024,02/01/2024 15:00:00,Food,552.0417
FOH,Sales,Actual,02/01/2024,02/01/2024 16:00:00,Beverage,99.7083
FOH,Sales,Actual,02/01/2024,02/01/2024 16:00:00,Food,372.625
FOH,Sales,Actual,02/01/2024,02/01/2024 17:00:00,Beverage,206.3333
FOH,Sales,Actual,02/01/2024,02/01/2024 17:00:00,Food,732.7083
FOH,Sales,Actual,02/01/2024,02/01/2024 18:00:00,Beverage,228.5833
FOH,Sales,Actual,02/01/2024,02/01/2024 18:00:00,Food,568.85
FOH,Sales,Actual,02/01/2024,02/01/2024 19:00:00,Beverage,203.2917
FOH,Sales,Actual,02/01/2024,02/01/2024 19:00:00,Food,527.775
FOH,Sales,Actual,02/01/2024,02/01/2024 20:00:00,Beverage,85.7083
FOH,Sales,Actual,02/01/2024,02/01/2024 20:00:00,Food,284.4583
FOH,Sales,Actual,02/01/2024,02/01/2024 21:00:00,Beverage,0.0
FOH,Sales,Actual,02/01/2024,02/01/2024 21:00:00,Food,0.0
FOH,Sales,Forecast,03/01/2024,03/01/2024 00:00:00,Food,5500.0
FOH,Sales,Forecast,03/01/2024,03/01/2024 00:00:00,Beverage,1800.0
FOH,Sales,Actual,03/01/2024,03/01/2024 11:00:00,Beverage,2.2917
FOH,Sales,Actual,03/01/2024,03/01/2024 11:00:00,Food,12.125
FOH,Sales,Actual,03/01/2024,03/01/2024 12:00:00,Beverage,159.0417
FOH,Sales,Actual,03/01/2024,03/01/2024 12:00:00,Food,379.4167
FOH,Sales,Actual,03/01/2024,03/01/2024 13:00:00,Beverage,236.5417
FOH,Sales,Actual,03/01/2024,03/01/2024 13:00:00,Food,764.125
FOH,Sales,Actual,03/01/2024,03/01/2024 14:00:00,Beverage,259.1667
FOH,Sales,Actual,03/01/2024,03/01/2024 14:00:00,Food,679.2417
FOH,Sales,Actual,03/01/2024,03/01/2024 15:00:00,Beverage,248.3333
FOH,Sales,Actual,03/01/2024,03/01/2024 15:00:00,Food,602.4583
FOH,Sales,Actual,03/01/2024,03/01/2024 16:00:00,Beverage,250.625
FOH,Sales,Actual,03/01/2024,03/01/2024 16:00:00,Food,748.5
FOH,Sales,Actual,03/01/2024,03/01/2024 17:00:00,Beverage,396.9167
FOH,Sales,Actual,03/01/2024,03/01/2024 17:00:00,Food,642.575
FOH,Sales,Actual,03/01/2024,03/01/2024 18:00:00,Beverage,353.5417
FOH,Sales,Actual,03/01/2024,03/01/2024 18:00:00,Food,910.9333
FOH,Sales,Actual,03/01/2024,03/01/2024 19:00:00,Beverage,231.625
FOH,Sales,Actual,03/01/2024,03/01/2024 19:00:00,Food,511.7583
FOH,Sales,Actual,03/01/2024,03/01/2024 20:00:00,Beverage,115.625
FOH,Sales,Actual,03/01/2024,03/01/2024 20:00:00,Food,365.2083
FOH,Sales,Actual,03/01/2024,03/01/2024 21:00:00,Beverage,45.5417
FOH,Sales,Actual,03/01/2024,03/01/2024 21:00:00,Food,42.5
FOH,Sales,Forecast,04/01/2024,04/01/2024 00:00:00,Food,5100.0
FOH,Sales,Forecast,04/01/2024,04/01/2024 00:00:00,Beverage,1600.0
FOH,Sales,Actual,04/01/2024,04/01/2024 10:00:00,Beverage,0.0
FOH,Sales,Actual,04/01/2024,04/01/2024 11:00:00,Beverage,9.625
FOH,Sales,Actual,04/01/2024,04/01/2024 11:00:00,Food,101.125
FOH,Sales,Actual,04/01/2024,04/01/2024 12:00:00,Beverage,144.4167
FOH,Sales,Actual,04/01/2024,04/01/2024 12:00:00,Food,595.15
FOH,Sales,Actual,04/01/2024,04/01/2024 13:00:00,Beverage,164.75
FOH,Sales,Actual,04/01/2024,04/01/2024 13:00:00,Food,627.96
