Department,Metric,Subdivision,Date of business,UTC datetime,Stream,Value
FOH,Sales,Forecast,22/09/2025,22/09/2025 00:00:00,Food,4000.0
FOH,Sales,Forecast,22/09/2025,22/09/2025 00:00:00,Beverage,1400.0
FOH,Sales,Prediction,22/09/2025,22/09/2025 01:00:00,Food,4168.0
FOH,Sales,Prediction,22/09/2025,22/09/2025 01:00:00,Beverage,1686.0
FOH,Sales,Actual,22/09/2025,22/09/2025 10:00:00,Beverage,6.25
FOH,Sales,Actual,22/09/2025,22/09/2025 10:00:00,Food,23.2083
FOH,Sales,Actual,22/09/2025,22/09/2025 11:00:00,Beverage,17.1667
FOH,Sales,Actual,22/09/2025,22/09/2025 11:00:00,Food,47.2083
FOH,Sales,Actual,22/09/2025,22/09/2025 12:00:00,Beverage,51.6667
FOH,Sales,Actual,22/09/2025,22/09/2025 12:00:00,Food,245.375
FOH,Sales,Actual,22/09/2025,22/09/2025 13:00:00,Beverage,67.375
FOH,Sales,Actual,22/09/2025,22/09/2025 13:00:00,Food,102.25
FOH,Sales,Actual,22/09/2025,22/09/2025 14:00:00,Beverage,36.875
FOH,Sales,Actual,22/09/2025,22/09/2025 14:00:00,Food,20.75
FOH,Sales,Actual,22/09/2025,22/09/2025 15:00:00,Beverage,94.7083
FOH,Sales,Actual,22/09/2025,22/09/2025 15:00:00,Food,150.4583
FOH,Sales,Actual,22/09/2025,22/09/2025 16:00:00,Beverage,147.2917
FOH,Sales,Actual,22/09/2025,22/09/2025 16:00:00,Food,380.9167
FOH,Sales,Actual,22/09/2025,22/09/2025 17:00:00,Beverage,96.375
FOH,Sales,Actual,22/09/2025,22/09/2025 17:00:00,Food,279.9583
FOH,Sales,Actual,22/09/2025,22/09/2025 18:00:00,Beverage,241.375
FOH,Sales,Actual,22/09/2025,22/09/2025 18:00:00,Food,723.4333
FOH,Sales,Actual,22/09/2025,22/09/2025 19:00:00,Beverage,148.375
FOH,Sales,Actual,22/09/2025,22/09/2025 19:00:00,Food,472.5
FOH,Sales,Actual,22/09/2025,22/09/2025 20:00:00,Beverage,103.875
FOH,Sales,Actual,22/09/2025,22/09/2025 20:00:00,Food,408.5417
FOH,Sales,Actual,22/09/2025,22/09/2025 21:00:00,Beverage,14.7083
FOH,Sales,Actual,22/09/2025,22/09/2025 21:00:00,Food,20.2917
FOH,Sales,Forecast,23/09/2025,23/09/2025 00:00:00,Food,4200.0
