Department,Metric,Subdivision,Date of business,UTC datetime,Stream,Value
FOH,Sales,Forecast,20/04/2026,20/04/2026 00:00:00,Food,4000.0
FOH,Sales,Forecast,20/04/2026,20/04/2026 00:00:00,Beverage,1200.0
FOH,Sales,Prediction,20/04/2026,20/04/2026 01:00:00,Food,3561.27
FOH,Sales,Prediction,20/04/2026,20/04/2026 01:00:00,Beverage,1362.28
FOH,Sales,Actual,20/04/2026,20/04/2026 10:00:00,Beverage,6.25
FOH,Sales,Actual,20/04/2026,20/04/2026 10:00:00,Food,23.2083
FOH,Sales,Actual,20/04/2026,20/04/2026 11:00:00,Beverage,42.9583
FOH,Sales,Actual,20/04/2026,20/04/2026 11:00:00,Food,124.6667
FOH,Sales,Actual,20/04/2026,20/04/2026 12:00:00,Beverage,50.2083
FOH,Sales,Actual,20/04/2026,20/04/2026 12:00:00,Food,167.0833
FOH,Sales,Actual,20/04/2026,20/04/2026 13:00:00,Beverage,142.6667
FOH,Sales,Actual,20/04/2026,20/04/2026 13:00:00,Food,628.375
FOH,Sales,Actual,20/04/2026,20/04/2026 14:00:00,Beverage,130.6333
FOH,Sales,Actual,20/04/2026,20/04/2026 14:00:00,Food,253.775
FOH,Sales,Actual,20/04/2026,20/04/2026 15:00:00,Beverage,61.25
FOH,Sales,Actual,20/04/2026,20/04/2026 15:00:00,Food,135.8333
FOH,Sales,Actual,20/04/2026,20/04/2026 16:00:00,Beverage,30.0417
FOH,Sales,Actual,20/04/2026,20/04/2026 16:00:00,Food,80.6667
FOH,Sales,Actual,20/04/2026,20/04/2026 17:00:00,Beverage,185.0833
FOH,Sales,Actual,20/04/2026,20/04/2026 17:00:00,Food,287.0833
FOH,Sales,Actual,20/04/2026,20/04/2026 18:00:00,Beverage,157.625
FOH,Sales,Actual,20/04/2026,20/04/2026 18:00:00,Food,584.2083
FOH,Sales,Actual,20/04/2026,20/04/2026 19:00:00,Beverage,134.6667
FOH,Sales,Actual,20/04/2026,20/04/2026 19:00:00,Food,565.0
FOH,Sales,Actual,20/04/2026,20/04/2026 20:00:00,Beverage,62.625
FOH,Sales,Actual,20/04/2026,20/04/2026 20:00:00,Food,163.5
FOH,Sales,Actual,20/04/2026,20/04/2026 21:00:00,Beverage,30.875
FOH,Sales,Actual,20/04/2026,20/04/2026 21:00:00,Food,90.8333
FOH,Sales,Actual,20/04/2026,20/04/2026 22:00:00,Beverage,21.5417
FOH,Sales,Actual,20/04/2026,20/04/2026 22:00:00,Food,41.5833
FOH,Sales,Forecast,21/04/2026,21/04/2026 00:00:00,Food,4500.0
FOH,Sales,Forecast,21/04/2026,21/04/2026 00:00:00,Beverage,1400.0
FOH,Sales,Prediction,21/04/2026,21/04/2026 01:00:00,Food,4075.21
FOH,Sales,Prediction,21/04/2026,21/04/2026 01:00:00,Beverage,1389.5
FOH,Sales,Actual,21/04/2026,21/04/2026 10:00:00,Beverage,0.0
FOH,Sales,Actual,21/04/2026,21/04/2026 10:00:00,Food,5.475
FOH,Sales,Actual,21/04/2026,21/04/2026 11:00:00,Beverage,0.0
FOH,Sales,Actual,21/04/2026,21/04/2026 11:00:00,Food,16.5833
FOH,Sales,Actual,21/04/2026,21/04/2026 12:00:00,Beverage,79.6667
FOH,Sales,Actual,21/04/2026,21/04/2026 12:00:00,Food,209.125
FOH,Sales,Actual,21/04/2026,21/04/2026 13:00:00,Beverage,83.5
FOH,Sales,Actual,21/04/2026,21/04/2026 13:00:00,Food,341.25
FOH,Sales,Actual,21/04/2026,21/04/2026 14:00:00,Beverage,203.3333
FOH,Sales,Actual,21/04/2026,21/04/2026 14:00:00,Food,386.2083
FOH,Sales,Actual,21/04/2026,21/04/2026 15:00:00,Beverage,74.5833
FOH,Sales,Actual,21/04/2026,21/04/2026 15:00:00,Food,347.75
FOH,Sales,Actual,21/04/2026,21/04/2026 16:00:00,Beverage,27.4167
FOH,Sales,Actual,21/04/2026,21/04/2026 16:00:00,Food,93.5833
FOH,Sales,Actual,21/04/2026,21/04/2026 17:00:00,Beverage,164.9167
FOH,Sales,Actual,21/04/2026,21/04/2026 17:00:00,Food,425.4167
FOH,Sales,Actual,21/04/2026,21/04/2026 18:00:00,Beverage,173.8333
FOH,Sales,Actual,21/04/2026,21/04/2026 18:00:00,Food,487.875
FOH,Sales,Actual,21/04/2026,21/04/2026 19:00:00,Beverage,236.6667
FOH,Sales,Actual,21/04/2026,21/04/2026 19:00:00,Food,841.0
FOH,Sales,Actual,21/04/2026,21/04/2026 20:00:00,Beverage,157.5
FOH,Sales,Actual,21/04/2026,21/04/2026 20:00:00,Food,70.0
FOH,Sales,Actual,21/04/2026,21/04/2026 21:00:00,Beverage,0.0
FOH,Sales,Actual,21/04/2026,21/04/2026 21:00:00,Food,65.5
FOH,Sales,Forecast,22/04/2026,22/04/2026 00:00:00,Food,4700.0
FOH,Sales,Forecast,22/04/2026,22/04/2026 00:00:00,Beverage,1600.0
FOH,Sales,Prediction,22/04/2026,22/04/2026 01:00:00,Food,4392.16
FOH,Sales,Prediction,22/04/2026,22/04/2026 01:00:00,Beverage,1659.01
FOH,Sales,Actual,22/04/2026,22/04/2026 10:00:00,Beverage,14.7083
FOH,Sales,Actual,22/04/2026,22/04/2026 10:00:00,Food,8.2917
FOH,Sales,Actual,22/04/2026,22/04/2026 11:00:00,Beverage,22.625
FOH,Sales,Actual,22/04/2026,22/04/2026 11:00:00,Food,0.0
FOH,Sales,Actual,22/04/2026,22/04/2026 12:00:00,Beverage,181.5417
FOH,Sales,Actual,22/04/2026,22/04/2026 12:00:00,Food,612.2083
FOH,Sales,Actual,22/04/2026,22/04/2026 13:00:00,Beverage,178.6667
FOH,Sales,Actual,22/04/2026,22/04/2026 13:00:00,Food,539.6667
FOH,Sales,Actual,22/04/2026,22/04/2026 14:00:00,Beverage,200.8333
FOH,Sales,Actual,22/04/2026,22/04/2026 14:00:00,Food,376.5417
FOH,Sales,Actual,22/04/2026,22/04/2026 15:00:00,Beverage,128.25
FOH,Sales,Actual,22/04/2026,22/04/2026 15:00:00,Food,226.4583
FOH,Sales,Actual,22/04/2026,22/04/2026 16:00:00,Beverage,226.8333
FOH,Sales,Actual,22/04/2026,22/04/2026 16:00:00,Food,546.1667
FOH,Sales,Actual,22/04/2026,22/04/2026 17:00:00,Beverage,276.2917
FOH,Sales,Actual,22/04/2026,22/04/2026 17:00:00,Food,631.6583
FOH,Sales,Actual,22/04/2026,22/04/2026 18:00:00,Beverage,280.5
FOH,Sales,Actual,22/04/2026,22/04/2026 18:00:00,Food,876.0833
FOH,Sales,Actual,22/04/2026,22/04/2026 19:00:00,Beverage,299.875
FOH,Sales,Actual,22/04/2026,22/04/2026 19:00:00,Food,700.7083
FOH,Sales,Actual,22/04/2026,22/04/2026 20:00:00,Beverage,80.5417
FOH,Sales,Actual,22/04/2026,22/04/2026 20:00:00,Food,145.7083
FOH,Sales,Actual,22/04/2026,22/04/2026 21:00:00,Beverage,36.9583
FOH,Sales,Actual,22/04/2026,22/04/2026 21:00:00,Food,68.6667
FOH,Sales,Actual,22/04/2026,22/04/2026 22:00:00,Beverage,5.4167
FOH,Sales,Actual,22/04/2026,22/04/2026 22:00:00,Food,0.0
