Department,Metric,Subdivision,Date of business,UTC datetime,Stream,Value
FOH,Sales,Forecast,26/08/2024,26/08/2024 00:00:00,Food,4000.0
FOH,Sales,Forecast,26/08/2024,26/08/2024 00:00:00,Beverage,1500.0
FOH,Sales,Actual,26/08/2024,26/08/2024 10:00:00,Beverage,2.2917
FOH,Sales,Actual,26/08/2024,26/08/2024 10:00:00,Food,14.9167
FOH,Sales,Actual,26/08/2024,26/08/2024 11:00:00,Beverage,34.0
FOH,Sales,Actual,26/08/2024,26/08/2024 11:00:00,Food,130.8333
FOH,Sales,Actual,26/08/2024,26/08/2024 12:00:00,Beverage,188.5417
FOH,Sales,Actual,26/08/2024,26/08/2024 12:00:00,Food,621.5417
FOH,Sales,Actual,26/08/2024,26/08/2024 13:00:00,Beverage,105.0833
FOH,Sales,Actual,26/08/2024,26/08/2024 13:00:00,Food,426.1167
FOH,Sales,Actual,26/08/2024,26/08/2024 14:00:00,Beverage,111.0417
FOH,Sales,Actual,26/08/2024,26/08/2024 14:00:00,Food,353.125
FOH,Sales,Actual,26/08/2024,26/08/2024 15:00:00,Beverage,101.6667
FOH,Sales,Actual,26/08/2024,26/08/2024 15:00:00,Food,203.3333
FOH,Sales,Actual,26/08/2024,26/08/2024 16:00:00,Beverage,96.2083
FOH,Sales,Actual,26/08/2024,26/08/2024 16:00:00,Food,153.7917
FOH,Sales,Actual,26/08/2024,26/08/2024 17:00:00,Beverage,116.7083
FOH,Sales,Actual,26/08/2024,26/08/2024 17:00:00,Food,320.1667
FOH,Sales,Actual,26/08/2024,26/08/2024 18:00:00,Beverage,228.7083
FOH,Sales,Actual,26/08/2024,26/08/2024 18:00:00,Food,464.0833
FOH,Sales,Actual,26/08/2024,26/08/2024 19:00:00,Beverage,106.7917
FOH,Sales,Actual,26/08/2024,26/08/2024 19:00:00,Food,448.75
FOH,Sales,Actual,26/08/2024,26/08/2024 20:00:00,Beverage,179.0833
FOH,Sales,Actual,26/08/2024,26/08/2024 20:00:00,Food,470.4167
FOH,Sales,Actual,26/08/2024,26/08/2024 21:00:00,Beverage,36.5
FOH,Sales,Actual,26/08/2024,26/08/2024 21:00:00,Food,46.2083
FOH,Sales,Forecast,27/08/2024,27/08/2024 00:00:00,Food,4000.0
FOH,Sales,Forecast,27/08/2024,27/08/2024 00:00:00,Beverage,1500.0
FOH,Sales,Actual,27/08/2024,27/08/2024 10:00:00,Beverage,6.0833
FOH,Sales,Actual,27/08/2024,27/08/2024 10:00:00,Food,48.25
FOH,Sales,Actual,27/08/2024,27/08/2024 11:00:00,Beverage,7.0
FOH,Sales,Actual,27/08/2024,27/08/2024 11:00:00,Food,29.4167
FOH,Sales,Actual,27/08/2024,27/08/2024 12:00:00,Beverage,72.75
FOH,Sales,Actual,27/08/2024,27/08/2024 12:00:00,Food,204.7083
FOH,Sales,Actual,27/08/2024,27/08/2024 13:00:00,Beverage,204.8333
FOH,Sales,Actual,27/08/2024,27/08/2024 13:00:00,Food,441.5
FOH,Sales,Actual,27/08/2024,27/08/2024 14:00:00,Beverage,148.9167
FOH,Sales,Actual,27/08/2024,27/08/2024 14:00:00,Food,465.5417
FOH,Sales,Actual,27/08/2024,27/08/2024 15:00:00,Beverage,103.375
FOH,Sales,Actual,27/08/2024,27/08/2024 15:00:00,Food,244.5417
FOH,Sales,Actual,27/08/2024,27/08/2024 16:00:00,Beverage,59.2083
FOH,Sales,Actual,27/08/2024,27/08/2024 16:00:00,Food,117.125
FOH,Sales,Actual,27/08/2024,27/08/2024 17:00:00,Beverage,78.3333
FOH,Sales,Actual,27/08/2024,27/08/2024 17:00:00,Food,163.7917
FOH,Sales,Actual,27/08/2024,27/08/2024 18:00:00,Beverage,162.5833
FOH,Sales,Actual,27/08/2024,27/08/2024 18:00:00,Food,503.625
FOH,Sales,Actual,27/08/2024,27/08/2024 19:00:00,Beverage,347.125
FOH,Sales,Actual,27/08/2024,27/08/2024 19:00:00,Food,834.0
FOH,Sales,Actual,27/08/2024,27/08/2024 20:00:00,Beverage,270.1667
FOH,Sales,Actual,27/08/2024,27/08/2024 20:00:00,Food,794.7917
FOH,Sales,Actual,27/08/2024,27/08/2024 21:00:00,Beverage,115.4167
FOH,Sales,Actual,27/08/2024,27/08/2024 21:00:00,Food,38.875
FOH,Sales,Forecast,28/08/2024,28/08/2024 00:00:00,Food,5000.0
FOH,Sales,Forecast,28/08/2024,28/08/2024 00:00:00,Beverage,1700.0
FOH,Sales,Actual,28/08/2024,28/08/2024 10:00:00,Beverage,0.0
FOH,Sales,Actual,28/08/2024,28/08/2024 11:00:00,Beverage,3.5417
FOH,Sales,Actual,28/08/2024,28/08/2024 11:00:00,Food,43.25
FOH,Sales,Actual,28/08/2024,28/08/2024 12:00:00,Beverage,110.7917
FOH,Sales,Actual,28/08/2024,28/08/2024 12:00:00,Food,512.8167
FOH,Sales,Actual,28/08/2024,28/08/2024 13:00:00,Beverage,185.6667
